Date,Nifty50_A
2023-01-12,17858.19921875
2023-01-13,17956.599609375
2023-01-16,17894.849609375
2023-01-17,18053.30078125
2023-01-18,18165.349609375
2023-01-19,18107.849609375
2023-01-20,18027.650390625
2023-01-23,18118.55078125
2023-01-24,18118.30078125
2023-01-25,17891.94921875
2023-01-26,17748.1494140625
2023-01-27,17604.349609375
2023-01-30,17648.94921875
2023-01-31,17662.150390625
2023-02-01,17616.30078125
2023-02-02,17610.400390625
2023-02-03,17854.05078125
2023-02-06,17764.599609375
2023-02-07,17721.5
2023-02-08,17871.69921875
2023-02-09,17893.44921875
2023-02-10,17856.5
2023-02-13,17770.900390625
2023-02-14,17929.849609375
2023-02-15,18015.849609375
2023-02-16,18035.849609375
2023-02-17,17944.19921875
2023-02-20,17844.599609375
2023-02-21,17826.69921875
2023-02-22,17554.30078125
2023-02-23,17511.25
2023-02-24,17465.80078125
2023-02-27,17392.69921875
2023-02-28,17303.94921875
2023-03-01,17450.900390625
2023-03-02,17321.900390625
2023-03-03,17594.349609375
2023-03-06,17711.44921875
2023-03-07,17732.9248046875
2023-03-08,17754.400390625
2023-03-09,17589.599609375
2023-03-10,17412.900390625
2023-03-13,17154.30078125
2023-03-14,17043.30078125
2023-03-15,16972.150390625
2023-03-16,16985.599609375
2023-03-17,17100.05078125
2023-03-20,16988.400390625
2023-03-21,17107.5
2023-03-22,17151.900390625
2023-03-23,17076.900390625
2023-03-24,16945.05078125
2023-03-27,16985.69921875
2023-03-28,16951.69921875
2023-03-29,17080.69921875
2023-03-30,17220.224609375
2023-03-31,17359.75
2023-04-03,17398.05078125
2023-04-04,17477.55078125
2023-04-05,17557.05078125
2023-04-06,17599.150390625
2023-04-10,17624.05078125
2023-04-11,17722.30078125
2023-04-12,17812.400390625
2023-04-13,17828.0
2023-04-14,17767.4248046875
2023-04-17,17706.849609375
2023-04-18,17660.150390625
2023-04-19,17618.75
2023-04-20,17624.44921875
2023-04-21,17624.05078125
2023-04-24,17743.400390625
2023-04-25,17769.25
2023-04-26,17813.599609375
2023-04-27,17915.05078125
2023-04-28,18065.0
2023-05-01,18106.3251953125
2023-05-02,18147.650390625
2023-05-03,18089.849609375
2023-05-04,18255.80078125
2023-05-05,18069.0
2023-05-08,18264.400390625
2023-05-09,18265.94921875
2023-05-10,18315.099609375
2023-05-11,18297.0
2023-05-12,18314.80078125
2023-05-15,18398.849609375
2023-05-16,18286.5
2023-05-17,18181.75
2023-05-18,18129.94921875
2023-05-19,18203.400390625
2023-05-22,18314.400390625
2023-05-23,18348.0
2023-05-24,18285.400390625
2023-05-25,18321.150390625
2023-05-26,18499.349609375
2023-05-29,18598.650390625
2023-05-30,18633.849609375
2023-05-31,18534.400390625
2023-06-01,18487.75
2023-06-02,18534.099609375
2023-06-05,18593.849609375
2023-06-06,18599.0
2023-06-07,18726.400390625
2023-06-08,18634.55078125
2023-06-09,18563.400390625
2023-06-12,18601.5
2023-06-13,18716.150390625
2023-06-14,18755.900390625
2023-06-15,18688.099609375
2023-06-16,18826.0
2023-06-19,18755.44921875
2023-06-20,18816.69921875
2023-06-21,18856.849609375
2023-06-22,18771.25
2023-06-23,18665.5
2023-06-26,18691.19921875
2023-06-27,18817.400390625
2023-06-28,18972.099609375
2023-06-29,19080.5751953125
2023-06-30,19189.05078125
2023-07-03,19322.55078125
2023-07-04,19389.0
2023-07-05,19398.5
2023-07-06,19497.30078125
2023-07-07,19331.80078125
2023-07-10,19355.900390625
2023-07-11,19439.400390625
2023-07-12,19384.30078125
2023-07-13,19413.75
2023-07-14,19564.5
2023-07-17,19711.44921875
2023-07-18,19749.25
2023-07-19,19833.150390625
2023-07-20,19979.150390625
2023-07-21,19745.0
2023-07-24,19672.349609375
2023-07-25,19680.599609375
2023-07-26,19778.30078125
2023-07-27,19659.900390625
2023-07-28,19646.05078125
2023-07-31,19753.80078125
2023-08-01,19733.55078125
2023-08-02,19526.55078125
2023-08-03,19381.650390625
2023-08-04,19517.0
2023-08-07,19597.30078125
2023-08-08,19570.849609375
2023-08-09,19632.55078125
2023-08-10,19543.099609375
2023-08-11,19428.30078125
2023-08-14,19434.55078125
2023-08-15,19449.775390625
2023-08-16,19465.0
2023-08-17,19365.25
2023-08-18,19310.150390625
2023-08-21,19393.599609375
2023-08-22,19396.44921875
2023-08-23,19444.0
2023-08-24,19386.69921875
2023-08-25,19265.80078125
2023-08-28,19306.05078125
2023-08-29,19342.650390625
2023-08-30,19347.44921875
2023-08-31,19253.80078125
2023-09-01,19435.30078125
2023-09-04,19528.80078125
2023-09-05,19574.900390625
2023-09-06,19611.05078125
2023-09-07,19727.05078125
2023-09-08,19819.94921875
2023-09-11,19996.349609375
2023-09-12,19993.19921875
2023-09-13,20070.0
2023-09-14,20103.099609375
2023-09-15,20192.349609375
2023-09-18,20133.30078125
2023-09-19,20017.3505859375
2023-09-20,19901.400390625
2023-09-21,19742.349609375
2023-09-22,19674.25
2023-09-25,19674.55078125
2023-09-26,19664.69921875
2023-09-27,19716.44921875
2023-09-28,19523.55078125
2023-09-29,19638.30078125
2023-10-02,19583.525390625
2023-10-03,19528.75
2023-10-04,19436.099609375
