,Gold_A
0,1918.400024
1,1907.199951
2,1904.400024
3,1922.099976
4,1926.400024
5,1927.099976
6,1933.900024
7,1941.199951
8,1928.599976
9,1922.900024
10,1929.5
11,1927.800049
12,1916.300049
13,1862.900024
14,1866.199951
15,1871.699951
16,1877.400024
17,1866.199951
18,1862.800049
19,1851.900024
20,1854.0
21,1834.199951
22,1842.0
23,1840.400024
24,1833.0
25,1832.0
26,1818.0
27,1808.800049
28,1817.0
29,1828.900024
30,1837.699951
31,1833.5
32,1847.699951
33,1847.900024
34,1812.699951
35,1829.300049
36,1862.0
37,1911.699951
38,1906.199951
39,1926.599976
40,1919.0
41,1969.800049
42,1979.199951
43,1938.0
44,1946.800049
45,1993.800049
46,1982.099976
47,1952.400024
48,1972.400024
49,1966.099976
50,1969.0
51,1983.900024
52,2020.900024
53,2011.900024
54,1989.099976
55,2004.800049
56,2010.900024
57,2041.300049
58,1994.199951
59,2007.400024
60,1995.199951
61,2007.599976
62,1979.5
63,1989.099976
64,1994.0
65,1985.699951
66,1989.900024
67,1990.099976
68,2014.300049
69,2028.599976
70,2048.0
71,2017.400024
72,2026.300049
73,2036.199951
74,2030.5
75,2014.699951
76,2014.5
77,2018.0
78,1988.400024
79,1980.699951
80,1956.5
81,1978.699951
82,1974.800049
83,1972.400024
84,1962.800049
85,1943.099976
86,1944.099976
87,1958.0
88,1963.900024
89,1978.0
90,1952.400024
91,1958.0
92,1965.5
93,1942.699951
94,1963.599976
95,1962.199951
96,1955.300049
97,1944.599976
98,1955.300049
99,1957.800049
100,1958.400024
101,1935.5
102,1933.300049
103,1912.699951
104,1919.099976
105,1923.699951
106,1914.0
107,1912.300049
108,1921.099976
109,1921.699951
110,1919.599976
111,1908.699951
112,1926.199951
113,1925.0
114,1931.300049
115,1956.199951
116,1959.199951
117,1960.099976
118,1952.400024
119,1977.199951
120,1977.5
121,1968.300049
122,1964.300049
123,1960.300049
124,1962.099976
125,1968.900024
126,1945.400024
127,1960.400024
128,1970.5
129,1940.699951
130,1937.400024
131,1932.0
132,1939.599976
133,1933.5
134,1924.099976
135,1915.400024
136,1914.400024
137,1912.900024
138,1910.599976
139,1896.099976
140,1884.099976
141,1886.099976
142,1893.300049
143,1896.400024
144,1918.5
145,1918.199951
146,1911.099976
147,1917.900024
148,1936.5
149,1944.300049
150,1938.199951
151,1939.800049
152,1926.199951
153,1918.099976
154,1917.5
155,1918.400024
156,1923.300049
157,1911.300049
158,1909.099976
159,1910.0
160,1923.699951
161,1931.5
162,1945.599976
163,1919.199951
164,1925.400024
165,1916.599976
166,1900.400024
167,1871.599976
168,1860.400024
169,1848.099976
170,1824.599976
171,1818.5
172,1816.599976
173,1830.199951
174,1849.5
175,1861.0
176,1872.800049
177,1869.300049
178,1927.400024
179,1921.099976
